driverStandingsId,raceId,driverId,points,position,positionText,wins
500,18,130,2,15,15,0
501,18,97,1,16,16,0
502,18,121,0,17,17,0
503,18,18,0,18,18,0
504,18,131,0,19,19,0
505,18,81,0,20,20,0
506,18,122,0,21,21,0
507,18,114,0,22,22,0
508,18,12,0,23,23,0
509,18,42,0,24,24,0
510,18,96,0,25,25,0
511,18,15,0,26,26,0
512,18,34,0,27,27,0
513,18,115,0,28,28,0
514,18,48,0,29,29,0
515,18,132,0,30,30,0
516,19,24,18,1,1,2
517,19,72,13,2,2,1
518,19,1,12,3,3,0
519,19,49,8,4,4,1
520,19,28,7,5,5,0
521,19,79,6,6,6,0
522,19,58,6,7,7,0
523,19,111,4,8,8,0
524,19,89,4,9,9,0
525,19,129,3,10,10,0
526,19,112,3,11,11,0
527,19,46,3,12,12,0
528,19,113,2,13,13,0
529,19,120,2,14,14,0
530,19,130,2,15,15,0
531,19,29,2,16,16,0
532,19,97,1,17,17,0
533,19,18,0,18,18,0
534,19,116,0,19,19,0
535,19,121,0,20,20,0
536,19,81,0,21,21,0
537,19,131,0,22,22,0
538,19,122,0,23,23,0
539,19,114,0,24,24,0
540,19,12,0,25,25,0
541,19,8,0,26,26,0
542,19,42,0,27,27,0
543,19,115,0,28,28,0
544,19,96,0,29,29,0
545,19,15,0,30,30,0
546,20,24,27,1,1,3
547,20,72,19,2,2,1
548,20,1,12,3,3,0
549,20,49,8,4,4,1
550,20,28,7,5,5,0
551,20,129,7,6,6,0
552,20,79,6,7,7,0
553,20,58,6,8,8,0
554,20,111,4,9,9,0
555,20,89,4,10,10,0
556,20,112,3,11,11,0
557,20,46,3,12,12,0
558,20,138,3,13,13,0
559,20,113,2,14,14,0
560,20,29,2,15,15,0
561,20,120,2,16,16,0
562,20,130,2,17,17,0
563,20,139,2,18,18,0
564,20,97,1,19,19,0
565,20,18,0,20,20,0
566,20,116,0,21,21,0
567,20,121,0,22,22,0
568,20,81,0,23,23,0
569,20,131,0,24,24,0
570,20,3,0,25,25,0
571,20,122,0,26,26,0
572,20,114,0,27,27,0
573,20,12,0,28,28,0
574,20,8,0,29,29,0
575,20,42,0,30,30,0
576,21,24,36,1,1,4
577,21,72,22,2,2,1
578,21,1,18,3,3,0
579,21,79,10,4,4,0
580,21,49,8,5,5,1
581,21,28,7,6,6,0
582,21,129,7,7,7,0
583,21,58,6,8,8,0
584,21,111,6,9,9,0
585,21,89,4,10,10,0
586,21,112,3,11,11,0
587,21,46,3,12,12,0
588,21,138,3,13,13,0
589,21,113,2,14,14,0
590,21,29,2,15,15,0
591,21,130,2,16,16,0
592,21,120,2,17,17,0
593,21,139,2,18,18,0
594,21,97,1,19,19,0
595,21,132,0,20,20,0
596,21,18,0,21,21,0
597,21,116,0,22,22,0
598,21,121,0,23,23,0
599,21,81,0,24,24,0
600,21,131,0,25,25,0
601,21,3,0,26,26,0
602,21,122,0,27,27,0
603,21,146,0,28,28,0
604,21,114,0,29,29,0
605,21,12,0,30,30,0
606,22,24,36,1,1,5
607,22,1,24,2,2,0
608,22,72,22,3,3,1
609,22,79,10,4,4,0
610,22,129,10,5,5,0
611,22,28,9,6,6,0
612,22,49,8,7,7,1
613,22,58,6,8,8,0
614,22,111,6,9,9,0
615,22,89,4,10,10,0
616,22,26,4,11,11,0
617,22,112,3,12,12,0
618,22,46,3,13,13,0
619,22,138,3,14,14,0
620,22,113,2,15,15,0
621,22,29,2,16,16,0
622,22,130,2,17,17,0
623,22,120,2,18,18,0
624,22,139,2,19,19,0
625,22,97,1,20,20,0
626,22,132,0,21,21,0
627,22,18,0,22,22,0
628,22,116,0,23,23,0
629,22,121,0,24,24,0
630,22,81,0,25,25,0
631,22,131,0,26,26,0
632,22,102,0,27,27,0
633,22,3,0,28,28,0
634,22,122,0,29,29,0
635,22,146,0,30,30,0
636,23,24,36,1,1,6
637,23,1,24,2,2,0
638,23,72,22,3,3,1
639,23,79,10,4,4,0
640,23,129,10,5,5,0
641,23,28,9,6,6,0
642,23,49,8,7,7,1
643,23,26,8,8,8,0
644,23,27,6.5,9,9,0
645,23,58,6,10,10,0
646,23,111,6,11,11,0
647,23,89,4,12,12,0
648,23,112,3,13,13,0
649,23,138,3,14,14,0
650,23,46,3,15,15,0
651,23,113,2,16,16,0
652,23,29,2,17,17,0
653,23,130,2,18,18,0
654,23,64,2,19,19,0
655,23,120,2,20,20,0
656,23,139,2,21,21,0
