constructorStandingsId,raceId,constructorId,points,position,positionText,wins
932,144,101,12,2,2,1
933,144,33,9,3,3,1
934,144,57,9,4,4,0
935,144,103,2,5,5,0
936,144,93,1,6,6,0
937,144,92,0,7,7,0
938,144,71,0,8,8,0
939,144,79,0,9,9,0
940,144,102,0,10,10,0
941,144,104,0,11,11,0
942,145,101,21,1,1,2
943,145,6,21,2,2,1
944,145,33,13,3,3,1
945,145,57,11,4,4,0
946,145,71,3,5,5,0
947,145,103,2,6,6,0
948,145,93,1,7,7,0
949,145,104,1,8,8,0
950,145,92,0,9,9,0
951,145,105,0,10,10,0
952,145,79,0,11,11,0
953,145,102,0,12,12,0
954,145,106,0,13,13,0
955,146,101,30,1,1,3
956,146,6,22,2,2,1
957,146,33,19,3,3,1
958,146,57,11,4,4,0
959,146,71,7,5,5,0
960,146,103,2,6,6,0
961,146,79,2,7,7,0
962,146,93,1,8,8,0
963,146,104,1,9,9,0
964,146,92,0,10,10,0
965,146,105,0,11,11,0
966,146,102,0,12,12,0
967,146,106,0,13,13,0
968,147,101,39,1,1,4
969,147,6,23,2,2,1
970,147,33,22,3,3,1
971,147,57,17,4,4,0
972,147,71,7,5,5,0
973,147,103,2,6,6,0
974,147,79,2,7,7,0
975,147,93,1,8,8,0
976,147,104,1,9,9,0
977,147,92,0,10,10,0
978,147,105,0,11,11,0
979,147,102,0,12,12,0
980,147,106,0,13,13,0
981,148,101,40,1,1,4
982,148,6,31,2,2,2
983,148,33,22,3,3,1
984,148,57,20,4,4,0
985,148,71,7,5,5,0
986,148,79,4,6,6,0
987,148,103,2,7,7,0
988,148,92,1,8,8,0
989,148,93,1,9,9,0
