resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
21868,906,784,197,8.0,11,12.0,12,12,0.0,51,,,48.0,12.0,1:38.919,214.393,15
21869,906,776,176,99.0,13,13.0,13,13,0.0,51,,,34.0,15.0,1:40.041,211.989,15
21870,906,800,198,17.0,12,14.0,14,14,0.0,51,,,51.0,14.0,1:39.961,212.158,15
21871,906,785,199,10.0,22,15.0,15,15,0.0,50,,,31.0,18.0,1:41.462,209.020,2
21872,906,801,198,4.0,17,16.0,16,16,0.0,50,,,50.0,17.0,1:40.399,211.233,2
21873,906,793,197,13.0,20,17.0,17,17,0.0,49,,,48.0,16.0,1:40.314,211.412,3
21874,906,768,45,6.0,1,,R,18,0.0,28,,,26.0,3.0,1:38.091,216.203,13
21875,906,805,199,9.0,21,,R,19,0.0,11,,,7.0,20.0,1:44.319,203.295,30
21876,906,798,176,21.0,19,,R,20,0.0,9,,,7.0,19.0,1:42.566,206.770,18
21877,906,749,137,19.0,15,,R,21,0.0,0,,,,,,,18
21878,906,741,6,7.0,18,,R,22,0.0,0,,,,,,,18
21879,907,768,45,6.0,1,1.0,1,1,25.0,67,1:33:42.914,5622914.0,67.0,6.0,1:21.298,202.543,1
21880,907,799,137,77.0,2,2.0,2,2,18.0,67,+20.789,5643703.0,45.0,9.0,1:21.494,202.056,1
21881,907,774,45,44.0,20,3.0,3,3,15.0,67,+22.530,5645444.0,53.0,1.0,1:19.908,206.066,1
21882,907,777,185,1.0,6,4.0,4,4,12.0,67,+44.014,5666928.0,39.0,10.0,1:21.545,201.930,1
21883,907,742,6,14.0,7,5.0,5,5,10.0,67,+52.467,5675381.0,57.0,3.0,1:20.548,204.429,1
21884,907,795,185,3.0,5,6.0,6,6,8.0,67,+52.549,5675463.0,53.0,5.0,1:20.846,203.676,1
