constructorId,constructorRef,name,nationality,url
48,lancia,Lancia,Italian,http://en.wikipedia.org/wiki/Lancia_in_Formula_One
49,epperly,Epperly,American,http://en.wikipedia.org/wiki/Epperly
50,arzani-volpini,Arzani-Volpini,Italian,http://en.wikipedia.org/wiki/Arzani-Volpini
51,bugatti,Bugatti,French,http://en.wikipedia.org/wiki/Bugatti
52,emeryson,Emeryson,British,http://en.wikipedia.org/wiki/Emeryson
53,dunn,Dunn,American,http://en.wikipedia.org/wiki/Dunn_Engineering
54,porsche,Porsche,German,http://en.wikipedia.org/wiki/Porsche_in_Formula_One
55,team_lotus,Team Lotus,British,http://en.wikipedia.org/wiki/Team_Lotus
56,cooper-climax,Cooper-Climax,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
57,cooper-maserati,Cooper-Maserati,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
58,elder,Elder,American,http://en.wikipedia.org/wiki/Elder_(constructor)
59,vhristensen,Christensen,American,http://en.wikipedia.org/wiki/Christensen_(constructor)
60,sutton,Sutton,American,http://en.wikipedia.org/wiki/Sutton_(constructor)
61,aston_martin,Aston Martin,British,http://en.wikipedia.org/wiki/Aston_Martin_in_Formula_One
62,cooper-borgward,Cooper-Borgward,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
63,jbw,JBW,British,http://en.wikipedia.org/wiki/JBW
64,fry,Fry,British,http://en.wikipedia.org/wiki/Fry_(racing_team)
65,cooper-osca,Cooper-OSCA,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
66,tec-mec,Tec-Mec,Italian,http://en.wikipedia.org/wiki/Tec-Mec
67,behra-porsche,Behra-Porsche,Italian,http://en.wikipedia.org/wiki/Behra-Porsche
68,scarab,Scarab,American,http://en.wikipedia.org/wiki/Scarab_(constructor)
69,cooper-castellotti,Cooper-Castellotti,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
70,meskowski,Meskowski,American,http://en.wikipedia.org/wiki/Meskowski
71,lotus-climax,Lotus-Climax,British,http://en.wikipedia.org/wiki/Team_Lotus
